Market,DMA Name,2022
500,Portland-Auburn,11230401.534598202
501,New York,125693661.82393128
502,Binghamton,6088613.4381500315
503,Macon,4089189.911239642
504,Philadelphia,50873534.71543526
505,Detroit,77385974.33566684
506,Boston (Manchester),88048514.40989728
507,Savannah,9023821.675349614
508,Pittsburgh,49392777.133764714
509,Ft. Wayne,12822315.626759654
510,Cleveland-Akron (Canton),43059931.80224466
511,"Washington, Dc (Hagrstwn)",65196003.32449662
512,Baltimore,38264599.965888575
513,Flint-Saginaw-Bay City,8333711.806109991
514,Buffalo,39950660.919387355
515,Cincinnati,35232031.41829437
516,Erie,8389036.1093029
517,Charlotte,47558902.55681518
518,Greensboro-H.Point-W.Salem,17399750.11594161
519,"Charleston, Sc",18737035.93254328
520,Augusta-Aiken,6597794.090759089
521,Providence-New Bedford,25729417.058045805
522,"Columbus, Ga (Opelika, Al)",5635756.064897104
523,Burlington-Plattsburgh,4701299.148186051
524,Atlanta,51292767.28188515
525,"Albany, Ga",1823982.9845272836
526,Utica,2141174.426956013
527,Indianapolis,36973287.186240375
528,Miami-Ft. Lauderdale,157133300.110838
529,Louisville,27232219.981271733
530,Tallahassee-Thomasville,7765326.022090895
531,"Tri-Cities, Tn-Va",3894297.911868771
532,Albany-Schenectady-Troy,13480631.620114962
533,Hartford & New Haven,50013264.429300725
534,Orlando-Daytona Bch-Melbrn,49525382.144100085
535,"Columbus, Oh",56405965.32872037
536,Youngstown,6810217.279025769
537,Bangor,4128639.584760596
538,"Rochester, Ny",3885811.6393793738
539,Tampa-St. Pete (Sarasota),53248490.48572739
540,Traverse City-Cadillac,925530.0989359549
541,Lexington,6328611.777860359
542,Dayton,16359887.221016292
543,Springfield-Holyoke,17572983.549182076
544,Norfolk-Portsmth-Newpt Nws,2225038.896789837
545,Greenville-N.Bern-Washngtn,5612975.355313613
546,"Columbia, Sc",14665362.012328263
547,Toledo,12387630.936933149
548,West Palm Beach-Ft. Pierce,7589009.471819942
549,Watertown,5350850.325806686
550,Wilmington,8738018.737142691
551,Lansing,10755435.809179638
552,Presque Isle,2633769.0
553,Marquette,1482464.9482340417
554,Wheeling-Steubenville,2176265.0642144214
555,Syracuse,18342366.038552914
556,Richmond-Petersburg,15102222.34712038
557,Knoxville,12618843.170621276
558,Lima,5545349.10612932
559,Bluefield-Beckley-Oak Hill,1630461.8264193342
560,Raleigh-Durham (Fayetvlle),39302118.61128463
561,Jacksonville,44458894.56729241
563,Grand Rapids-Kalmzoo-B.Crk,21010598.71430508
564,Charleston-Huntington,3169754.381840502
565,Elmira (Corning),3452490.0937617896
566,Harrisburg-Lncstr-Leb-York,19038902.842203997
567,Greenvll-Spart-Ashevll-And,13496311.2766895
569,Harrisonburg,6760570.447186623
570,Myrtle Beach-Florence,8774364.517848944
571,Ft. Myers-Naples,28037066.474324845
573,Roanoke-Lynchburg,3070047.407786992
574,Johnstown-Altoona-St Colge,4616187.577777688
575,Chattanooga,12459193.827502428
576,Salisbury,9261902.90404869
577,Wilkes Barre-Scranton-Hztn,7557990.224702831
581,Terre Haute,2113737.3382578325
582,"Lafayette, In",10203955.886047812
583,Alpena,877869.2219074356
584,Charlottesville,7214863.520803372
588,South Bend-Elkhart,9995091.19439754
592,Gainesville,12154441.2761946
596,Zanesville,3851467.0
597,Parkersburg,3402981.1170911673
598,Clarksburg-Weston,1853977.1251292464
600,Corpus Christi,11612261.783325452
602,Chicago,279208136.7974161
603,Joplin-Pittsburg,2587376.583847314
604,Columbia-Jefferson City,4960685.949309827
605,Topeka,5210881.3194568455
606,Dothan,3288038.3677343093
609,St. Louis,4553369.746948307
610,Rockford,9096725.106078336
611,Rochestr-Mason City-Austin,5801596.753792025
612,Shreveport,2226725.5703420644
613,Minneapolis-St. Paul,51195763.57287576
616,Kansas City,29187997.56603072
617,Milwaukee,32583296.043420076
618,Houston,264804643.0047331
619,"Springfield, Mo",5781532.506218281
622,New Orleans,1328974.7538380765
623,Dallas-Ft. Worth,145124606.92755312
624,Sioux City,2367596.0899312813
625,Waco-Temple-Bryan,11266541.70420968
626,Victoria,4602176.0
627,Wichita Falls & Lawton,3646517.160963366
628,Monroe-El Dorado,1952661.3313476285
630,Birmingham (Ann And Tusc),21261467.98093205
631,Ottumwa-Kirksville,884051.8848880135
632,Paducah-Cape Girard-Harsbg,1224007.3334305745
633,Odessa-Midland,13571181.6904725
634,Amarillo,3802914.870291366
635,Austin,89331069.89039399
636,Harlingen-Wslco-Brnsvl-Mca,18135809.502299592
637,Cedar Rapids-Wtrlo-Iwc&Dub,8068927.114983663
638,St. Joseph,3834750.306542618
639,"Jackson, Tn",3151230.62069639
640,Memphis,39479721.404311575
641,San Antonio,82202515.76699255
647,Greenwood-Greenville,921106.6971465632
648,Champaign&Sprngfld-Decatur,6479532.025648534
649,Evansville,4634055.199360503
650,Oklahoma City,24813427.722266573
651,Lubbock,9854749.84350714
652,Omaha,29039987.17272337
656,Panama City,5527474.230742206
657,Sherman-Ada,2978295.38713477
658,Green Bay-Appleton,9601214.47558381
659,Nashville,26871135.593813077
661,San Angelo,5382771.88799141
662,Abilene-Sweetwater,3527669.4980661348
669,Madison,27163935.25864457
670,Ft. Smith-Fay-Sprngdl-Rgrs,10605902.696325293
671,Tulsa,20381208.29356113
673,Columbus-Tupelo-West Point,1785120.046156569
675,Peoria-Bloomington,7331088.342375356
676,Duluth-Superior,1219104.66167114
678,Wichita-Hutchinson Plus,15243205.937205948
679,Des Moines-Ames,21051124.567187008
682,Davenport-R.Island-Moline,5047593.205565928
686,Mobile-Pensacola (Ft Walt),13818150.050757028
687,Bismarck-Mnt-Dcknsn(Wlstn),2994577.814157754
691,Huntsville-Decatur (Flor),13618665.332472157
692,Beaumont-Port Arthur,10013858.47773368
