DMA Code,DMA Name,Universe,GDP,Median Household Income,Per Capita Income Per Capita Income,Median Housing Value,In Labor Force,Broadband Any Source,Total Bachelors Or Higher,Total Spanish Household,Owner Occupied,Default CPM
632,Paducah-Cape Girard-Harsbg,2078512,1224007.333,48174.47285,26375.60457,123964.9702,955275,572016,297411,19068,1401409,9.74071454
633,Odessa-Midland,493889,13571181.69,-2962607.415,31958.80447,8392.174715,228947,118135,62505,65143,339545,9.9169763
634,Amarillo,544505,3802914.87,53676.6259,26715.69014,120228.7997,265766,142029,73380,47037,348403,8.7499175
635,Austin,2327874,89331069.89,80001.82278,40773.62974,305855.0663,1173876,654726,702921,163042,1461980,12.75792142
636,Harlingen-Wslco-Brnsvl-Mca,1368723,18135809.5,41074.47841,17802.59981,88858.02328,541509,220665,144030,316389,943451,9.54552978
637,Cedar Rapids-Wtrlo-Iwc&Dub,908416,8068927.115,62694.55046,33710.64921,168035.1067,494060,282794,190247,9838,656071,8.52244217
638,St. Joseph,160578,3834750.307,50305.46317,25869.92648,116545.2104,77613,42985,22276,2211,101653,8.09675171
639,"Jackson, Tn",245753,3151230.621,46471.89778,24761.12703,121531.06,110680,63289,34112,2394,163099,9.64891109
640,Memphis,7187362,39479721.4,49048.74748,27007.45173,137465.3487,3290869,1797698,1114385,105607,4668765,10.98044753
641,San Antonio,8729083,82202515.77,-103736.5573,31673.53362,166791.1347,3958007,2118457,1686850,869831,5961845,12.03537805
642,"Lafayette, La",606497,,50862.53116,27807.10886,149473.1135,285369,159729,90397,6144,419728,8.40147442
643,Lake Charles,272780,,52048.82082,28766.62461,152230.7328,125166,70697,37039,3119,191486,10.90898805
644,"Alexandria, La",242495,,46704.88321,25578.19569,133397.0272,106465,60858,29169,2825,149162,8.79766986
647,Greenwood-Greenville,175788,921106.6971,33347.37631,20970.75052,88606.92653,71550,35167,22469,1021,96735,5.75891534
648,Champaign&Sprngfld-Decatur,949255,6479532.026,55822.80858,31090.82616,126975.905,483394,295842,178862,12143,635590,8.18378945
649,Evansville,1801958,4634055.199,53428.87145,28015.13704,134254.2765,831711,493654,250468,14396,1292752,9.66397404
650,Oklahoma City,3352076,24813427.72,57656.71986,30780.8464,151529.8885,1617163,930927,647803,91677,2154111,9.46401593
651,Lubbock,471210,9854749.844,52320.34942,26761.27851,129231.3563,225161,118943,73414,48741,283163,8.95258427
652,Omaha,1150846,29039987.17,67336.54405,34716.73374,170864.9296,608673,347216,258763,30107,794873,11.22946058
656,Panama City,392802,5527474.231,52973.0159,28326.40029,175548.5112,172743,107225,61548,5344,262281,11.57532477
657,Sherman-Ada,350635,2978295.387,51667.48288,26715.68182,128648.3035,154455,84640,48520,7784,238122,10.39830833
658,Green Bay-Appleton,4792855,9601214.476,64031.00173,34626.26209,190415.6672,2545698,1510606,1034133,94700,3271882,10.67907479
659,Nashville,4821036,26871135.59,59758.05475,31555.86635,204203.9032,2335435,1293997,960391,78628,3155070,10.59849394
661,San Angelo,2395071,5382771.888,50427.31651,24143.43661,87927.72627,1053042,535158,320472,311487,1592410,7.17615315
662,Abilene-Sweetwater,313362,3527669.498,51436.93209,26416.2604,109539.0622,139795,75750,43865,18201,202232,8.20897295
669,Madison,1014539,27163935.26,68490.77709,36743.25245,225602.3521,556952,325488,261466,17294,680819,10.81316586
670,Ft. Smith-Fay-Sprngdl-Rgrs,884723,10605902.7,55122.60775,29608.03249,156858.8199,398306,210418,155157,25402,572367,11.28337012
671,Tulsa,2106765,20381208.29,52839.04713,29926.31716,135228.4786,987100,567659,339966,39244,1422660,11.23620576
673,Columbus-Tupelo-West Point,491566,1785120.046,45103.63555,24098.75892,114783.4789,221391,115364,66443,4660,336783,8.75703636
675,Peoria-Bloomington,1766218,7331088.342,66105.56603,33558.008,164460.9129,907568,525072,355581,52653,1268683,9.27527487
676,Duluth-Superior,1134792,1219104.662,71001.29708,35867.20062,208277.8067,588161,347292,234153,9511,894766,9.64077598
678,Wichita-Hutchinson Plus,4085039,15243205.94,61154.97561,31762.13833,154149.9844,2109020,1210542,857949,119894,2767307,8.92414952
679,Des Moines-Ames,1180898,21051124.57,65795.05348,34216.03632,168044.7589,623467,357137,256103,18948,837197,11.63069929
682,Davenport-R.Island-Moline,757358,5047593.206,57311.90692,31090.45858,127552.0395,385346,232368,125575,13929,549129,8.73420336
686,Mobile-Pensacola (Ft Walt),1483893,13818150.05,55683.59632,29560.22468,172091.9673,671504,398118,270046,19753,1006328,9.64728012
687,Bismarck-Mnt-Dcknsn(Wlstn),1534279,2994577.814,62882.3981,35090.46245,225770.7214,818845,479144,325619,13726,1015118,14.48954851
691,Huntsville-Decatur (Flor),3377399,13618665.33,54386.96914,29834.08685,155754.6908,1564845,913455,653240,44325,2322352,10.24836874
692,Beaumont-Port Arthur,465142,10013858.48,53341.48595,27790.44605,117746.0345,204080,115096,54694,17616,314141,13.25767963
693,Little Rock-Pine Bluff,1474389,9646445.524,49885.11579,27821.04226,133085.8832,679130,383496,247716,21641,976580,9.49969104
698,Montgomery-Selma,623512,6100824.413,48441.69332,26940.92592,123617.1259,284862,166621,107914,4564,406493,8.32772919
702,La Crosse-Eau Claire,560868,3804761.908,59298.97981,31130.48461,168557.3324,297528,168916,98858,6179,397598,12.57483735
705,Wausau-Rhinelander,446338,4324262.653,57869.77947,32299.29894,156755.3713,232789,142888,76269,3217,339101,9.47503368
709,Tyler-Longview(Lfkn&Ncgd),764162,5937202.492,53366.22895,26905.64206,140564.9,337427,192293,109763,31965,508937,9.09327456
710,Hattiesburg-Laurel,298536,2107609.419,44495.05589,24895.19364,116289.965,135309,67540,45527,2397,206280,8.43077158
711,Meridian,176813,1779353.515,39768.49158,22997.70059,90243.24456,77877,38802,20423,1030,122342,6.88459621
716,Baton Rouge,423645,204819.1039,62541.16345,29652.14251,167988.3936,196849,108897,55229,4823,334999,9.42337613
717,Quincy-Hannibal-Keokuk,6304366,1584953.919,66061.19332,37669.99429,231682.1764,3329905,1841227,1621211,348368,3930182,7.46941696
718,"Jackson, Ms",2198330,5656850.822,49085.54163,26547.46563,133172.7253,1012301,541886,374923,19717,1473913,8.97863875
722,Lincoln & Hastings-Krny,741889,9782290.934,59636.99252,31695.36023,156524.2384,403389,230490,145769,17792,500366,9.7711957
724,Fargo,995867,5062902.27,62856.79242,34446.69643,192783.5866,540583,307412,197593,8761,698225,9.60813284
725,Sioux Falls(Mitchell),1554281,5403499.391,60763.36893,31476.76282,-3322619.307,815737,455685,296389,16250,1071235,8.51545137
734,Jonesboro,220650,3052167.726,46667.34877,25740.23444,123904.2379,98603,59659,30335,2282,139240,8.12435158
736,Bowling Green,228708,4551390.658,49078.24747,26715.50506,148511.1754,106087,63173,35113,2613,143960,7.24164712
737,Mankato,312217,1094935.458,70287.57935,32901.73893,202084.7468,168181,91894,58688,3008,236672,9.51936105
740,North Platte,1960350,2204036.167,63753.51344,33166.32835,164877.4232,1049778,599133,414818,52081,1337580,8.83969566
743,Anchorage,564246,,77443.28409,36531.65445,273008.6641,305202,159985,108683,8858,373067,12.08621698
744,Honolulu,1419638,46068142.1,83913.30221,37009.59952,644226.4602,746373,372790,334318,13486,861232,12.22880036
745,Fairbanks,105366,,75839.38245,37627.88129,236298.9845,60776,31462,20933,1522,62935,9.33324534
746,Biloxi-Gulfport,367323,8160079.487,50518.39422,26943.84122,150442.2269,173741,98424,56415,5961,234454,9.58629705
747,Juneau,33399,,87446.36435,43026.04647,356738.6718,19873,11131,9023,534,22459,8.44235833
749,Laredo,289090,11133396.85,49441.1441,19025.28727,132718.8734,114812,44025,29698,71855,187938,12.26928403
751,Denver,4571290,37842027.5,80177.92379,41267.93966,398418.5388,2425519,1414055,1367654,198964,3064938,12.02754308
752,Colorado Springs-Pueblo,1011377,29494340.48,65096.05392,32550.27673,264218.7271,481365,302211,228068,37633,663214,11.86312182
753,Phoenix (Prescott),5678907,233375133.6,64818.18525,33353.36421,263156.5453,2540085,1542340,1178072,330089,3664794,13.2854809
754,Butte-Bozeman,192345,5003717.229,62598.59616,34890.34689,306744.3391,97793,58635,53285,1606,125908,8.18654253
755,Great Falls,168029,2087117.802,49894.88855,28084.65806,159959.6784,81033,47737,29360,936,110004,10.51990081
756,Billings,289034,5403489.046,59823.67475,34278.49351,229935.0004,147862,88805,60884,2879,207518,8.30320909
757,Boise,838345,20877936.49,62891.25678,31621.65704,255697.0605,380919,217783,174293,25270,595498,11.69098738
758,Idaho Fals-Pocatllo(Jcksn),397437,3402782.279,58210.00788,28071.35815,234059.6532,181173,105733,72344,12279,280077,11.21321704
759,Cheyenne-Scottsbluff,153168,4235657.688,63779.68393,33653.51293,205231.0933,79880,47554,29087,4281,110508,24.28548531
760,Twin Falls,198287,2566070.699,54464.3695,26599.02143,206075.7382,93458,52541,27988,11031,137756,9.18308173
762,Missoula,314329,4348358.459,55498.55863,31772.5907,291898.785,153069,95343,77961,2394,220633,16.7639745
764,Rapid City,269199,3109563.327,55579.05975,30481.7095,193295.7998,133691,80218,51576,2328,187543,8.02494668
765,El Paso (Las Cruces),1684377,34486716.04,50489.9933,25229.5464,158324.8757,764235,399515,287115,301524,1148918,15.05917681
766,Helena,320189,185435,55849.54853,31069.22226,234306.9125,153905,94172,68904,2594,232651,11.65311594
767,Casper-Riverton,146103,3295595.775,60592.50807,32407.46215,206615.2153,77423,45430,23419,3052,104900,6.60681364
770,Salt Lake City,3332635,48333293.82,74674.4949,31093.5855,307341.7248,1572843,837324,670955,106881,2424681,11.89508302
771,Yuma-El Centro,392511,8312553.57,47608.55683,21002.87415,170254.2889,159007,83972,37792,70402,242060,7.97304913
773,Grand Junction-Montrose,195242,5756697.7,56605.6592,29833.67311,244415.3102,93456,62281,36554,6157,135725,11.41964542
789,Tucson (Sierra Vista),1211512,41694281.38,54132.82742,30114.01483,192458.6487,548425,369153,264122,121367,778522,11.21766294
790,Albuquerque-Santa Fe,2146636,17765307.58,51993.39627,28386.23933,184511.7974,976951,550074,407572,216213,1482688,9.41147589
798,Glendive,9986,355883.0881,50595.2177,30596.53595,146684.0377,5500,3412,1844,35,6508,9.42298808
801,Eugene,644107,11867697.79,55015.06233,30935.38626,273389.3269,297791,202876,137678,11759,396596,11.15579089
802,Eureka,163793,4812366.061,49361.12402,28700.96278,313750.8398,75203,49932,31812,4528,94211,11.10779508
803,Los Angeles,24911947,627630618.3,80763.51096,38979.36408,616831.3189,12713521,6768576,6112791,2186056,13355702,14.67835443
807,San Francisco-Oak-San Jose,7420358,192468242,113572.4053,56486.16625,916201.2603,3987670,2270378,2638672,389400,4260093,14.5870474
810,Yakima-Pasco-Rchlnd-Knnwck,741671,8106912.751,62181.61705,28317.74121,223969.6636,335407,189845,109172,58048,483995,10.91289902
811,Reno,731902,20621088.5,65739.0368,35638.19861,329251.2338,355272,218583,142974,36423,447880,11.37687552
813,Medford-Klamath Falls,447785,6058560.47,52241.16447,29876.19362,265394.9896,192374,141271,79697,10445,294912,12.72669452
819,Seattle-Tacoma,5403387,168700675.8,85431.35058,44532.17516,457306.0543,2725453,1724386,1525576,122578,3475692,12.35398241
820,"Portland, Or",3438408,34804155.58,72708.38337,37168.78016,358053.2289,1701300,1055348,860139,105071,2221263,13.08670563
821,"Bend, Or",191749,11781026,68937,37615,389300,88594,57786,52113,3239,132004,9.88106134
825,San Diego,3323970,257341197,82426,39737,595600,1725355,966430,893648,254577,1787387,13.99938036
828,Monterey-Salinas,767694,21094897.87,82294.8335,36585.30675,642720.3199,374027,195079,156068,77257,402232,13.87169832
839,Las Vegas,2279557,133000049.2,60763.42023,31519.61849,282501.4812,1095617,609104,389470,161024,1271365,12.8151437
855,Santabarbra-Sanmar-Sanluob,11939238,,70856.49701,34981.3616,581774.1499,6091127,3130765,2610894,1285354,5947775,12.70350496
862,Sacramnto-Stkton-Modesto,3901858,52483604.65,70834.47218,33308.82345,376205.406,1792760,1064077,725904,230122,2339444,13.39653434
866,Fresno-Visalia,2052154,28185150.51,56612.15889,24283.52792,256752.369,879523,448190,229970,235768,1094573,12.57654963
868,Chico-Redding,516241,7077768.007,54405.9173,30035.2089,273975.2641,227581,151811,82876,20184,315430,10.10013256
881,Spokane,1204500,14312341.67,56416.54853,29902.09897,236967.2741,540691,353658,226688,23762,797881,11.78714221
